Id_estacion,Anio,Mes,Dia,Medicion
12,2011,8,15,33.43
12,2011,8,22,96.99
12,2011,8,29,95.69
12,2011,9,5,12.47
12,2011,9,12,22.55
12,2011,9,19,21.85
12,2011,9,26,3.38
12,2011,10,3,45.4
12,2011,10,10,22.55
3,2012,5,7,9.82
3,2012,5,14,1.69
3,2012,5,28,19.5
3,2012,6,4,9.67
3,2012,6,11,33.92
3,2012,6,18,38.68
3,2012,6,25,58.03
3,2012,7,2,40.99
3,2012,7,9,62.32
3,2012,7,16,31.01
3,2012,7,23,31.93
3,2012,7,30,16.89
3,2012,8,6,46.36
3,2012,8,13,71.53
3,2012,8,20,108.99
3,2012,8,27,16.27
3,2012,9,3,31.16
3,2012,9,10,40.53
3,2012,9,17,8.6
3,2012,9,24,23.18
3,2012,10,1,10.59
3,2012,10,8,3.68
3,2012,10,22,2.15
3,2012,10,29,11.36
11,2012,5,7,7.98
11,2012,5,14,8.14
11,2012,5,28,31.16
11,2012,6,4,13.97
11,2012,6,11,52.65
11,2012,6,18,57.56
11,2012,6,25,79.06
11,2012,7,2,45.59
11,2012,7,9,62.78
11,2012,7,16,44.36
11,2012,7,23,57.26
11,2012,7,30,10.44
11,2012,8,6,40.22
11,2012,8,13,94.41
11,2012,8,20,133.24
11,2012,8,27,20.88
11,2012,9,3,40.99
11,2012,9,10,38.38
11,2012,9,17,13.66
11,2012,9,24,33.31
11,2012,10,1,15.35
11,2012,10,8,6.29
11,2012,10,22,2.15
11,2012,10,29,23.79
12,2012,5,7,22.57
12,2012,5,14,2.76
12,2012,5,28,15.5
12,2012,6,4,17.35
12,2012,6,11,118.97
12,2012,6,18,34.54
12,2012,6,25,29.17
12,2012,7,2,64.78
12,2012,7,9,81.36
12,2012,7,16,85.04
12,2012,7,23,47.13
12,2012,7,30,11.05
12,2012,8,6,73.07
12,2012,8,13,16.27
12,2012,8,20,54.34
12,2012,8,27,11.05
12,2012,9,3,21.03
12,2012,9,10,40.37
12,2012,9,17,17.04
12,2012,9,24,44.82
12,2012,10,1,13.51
12,2012,10,8,4.45
12,2012,10,22,3.38
12,2012,10,29,12.28
3,2013,5,6,23.95
3,2013,5,20,22.72
3,2013,6,3,25.02
3,2013,6,10,6.45
3,2013,6,17,74.7
3,2013,6,24,15.5
3,2013,7,1,63.8
3,2013,7,8,21.34
3,2013,7,15,48.71
3,2013,7,22,12.4
3,2013,7,29,26.1
3,2013,8,5,51.3
3,2013,8,12,72.79
3,2013,8,19,40.2
3,2013,8,26,31.16
3,2013,9,2,52.96
3,2013,9,9,18.42
3,2013,9,16,70.6
3,2013,9,23,38.1
3,2013,9,30,13.36
3,2013,10,7,7.11
11,2013,4,29,1.3
11,2013,5,6,44.99
11,2013,5,13,5.83
11,2013,5,20,30.99
11,2013,5,27,2.61
11,2013,6,3,35.4
11,2013,6,10,13
11,2013,6,17,97.51
11,2013,6,24,49.8
11,2013,7,1,68.89
11,2013,7,8,32.01
11,2013,7,15,64
11,2013,7,22,15.5
11,2013,7,29,38.61
11,2013,8,5,47.4
11,2013,8,12,72.7
11,2013,8,19,40
11,2013,8,26,49.9
11,2013,9,2,68.2
11,2013,9,9,26.86
11,2013,9,23,23.79
11,2013,9,30,11.3
11,2013,10,7,7.6
11,2013,10,14,82.4
11,2013,10,21,6.29
11,2013,10,28,7.52
12,2013,5,6,44.19
12,2013,5,13,11.21
12,2013,5,20,62.09
12,2013,5,27,8.14
12,2013,6,3,26.5
12,2013,6,10,57.99
12,2013,6,17,64.93
12,2013,6,24,38.1
12,2013,7,1,58.49
12,2013,7,8,52.81
12,2013,7,15,68.69
12,2013,7,22,18.9
12,2013,7,29,49.12
12,2013,8,5,28.8
12,2013,8,12,62.51
12,2013,8,19,89.09
12,2013,8,26,74.3
12,2013,9,2,65.79
12,2013,9,9,54.03
12,2013,9,16,45.1
12,2013,9,23,4.3
12,2013,9,30,28.11
12,2013,10,7,6.45
12,2013,10,14,73.81
12,2013,10,21,11.05
12,2013,10,28,14.12
3,2014,4,28,26.71
3,2014,5,5,16.58
3,2014,5,19,31.93
3,2014,5,26,15.2
3,2014,6,2,44.82
3,2014,6,9,9.21
3,2014,6,16,54.96
3,2014,6,23,28.71
3,2014,6,30,84.74
3,2014,7,7,13.51
3,2014,7,14,8.44
3,2014,7,21,41.14
3,2014,7,28,9.82
3,2014,8,4,80.28
3,2014,8,11,36.07
3,2014,8,18,29.01
3,2014,8,25,68.92
3,2014,9,1,14.12
3,2014,9,8,36.53
3,2014,9,15,14.28
3,2014,9,22,33.16
3,2014,9,29,70
3,2014,10,6,13.2
3,2014,10,13,58.33
3,2014,10,20,0.45
11,2014,4,28,23.64
11,2014,5,5,23.03
11,2014,5,19,51.58
11,2014,5,26,30.39
11,2014,6,2,60.79
11,2014,6,9,4.61
11,2014,6,16,66.47
11,2014,6,23,48.2
11,2014,6,30,73.53
11,2014,7,7,58.49
11,2014,7,14,31.47
11,2014,7,21,56.34
11,2014,7,28,20.57
11,2014,8,4,52.19
11,2014,8,11,25.79
11,2014,8,18,18.42
11,2014,8,25,73.22
11,2014,9,1,28.71
11,2014,9,8,48.66
11,2014,9,15,19.19
11,2014,9,22,91.64
11,2014,9,29,45.44
11,2014,10,6,14.89
11,2014,10,13,71.07
11,2014,10,20,1.69
12,2014,5,5,10.28
12,2014,5,19,111.45
12,2014,6,9,34.85
12,2014,6,16,77.21
12,2014,6,23,37.92
12,2014,6,30,83.35
12,2014,7,7,20.42
12,2014,7,14,23.33
12,2014,7,21,26.86
12,2014,7,28,18.11
12,2014,8,4,55.72
12,2014,8,11,28.71
12,2014,8,18,31.78
12,2014,8,25,70.92
12,2014,9,1,43.14
12,2014,9,8,29.63
12,2014,9,15,53.88
12,2014,9,22,77.06
12,2014,9,29,75.83
12,2014,10,6,2.15
12,2014,10,13,77.21
3,2015,5,4,33.31
3,2015,5,11,33.62
3,2015,5,18,21.64
3,2015,5,25,65.55
3,2015,6,1,35.92
3,2015,6,8,21.8
3,2015,6,15,56.18
3,2015,6,22,43.9
3,2015,6,29,18.11
3,2015,7,6,31.32
3,2015,7,13,33.77
3,2015,7,20,50.5
3,2015,7,27,2.15
3,2015,8,3,12.13
3,2015,8,10,21.64
3,2015,8,17,15.2
3,2015,8,24,8.9
3,2015,8,31,43.9
3,2015,9,7,45.28
3,2015,9,14,3.38
3,2015,9,21,36.84
3,2015,9,28,1.54
3,2015,10,12,5.22
3,2015,10,19,11.36
11,2015,5,4,24.41
11,2015,5,11,17.04
11,2015,5,18,31.32
11,2015,5,25,57.41
11,2015,6,1,25.17
11,2015,6,8,32.85
11,2015,6,15,77.98
11,2015,6,22,53.57
11,2015,6,29,34.85
11,2015,7,6,53.11
11,2015,7,13,69.85
11,2015,7,20,32.54
11,2015,7,27,25.64
11,2015,8,3,18.11
11,2015,8,10,37.92
11,2015,8,17,41.75
11,2015,8,24,21.49
11,2015,8,31,40.22
11,2015,9,7,35.92
12,2015,5,4,21.18
12,2015,5,11,33.92
12,2015,5,18,42.06
12,2015,5,25,35.61
12,2015,6,1,9.82
12,2015,6,8,3.99
12,2015,6,15,98.86
12,2015,6,22,104.08
12,2015,6,29,32.7
12,2015,7,6,16.73
12,2015,7,13,77.06
12,2015,7,20,34.85
12,2015,7,27,13.66
12,2015,8,3,36.84
12,2015,8,10,43.29
12,2015,8,17,22.57
12,2015,8,24,95.48
12,2015,8,31,20.42
12,2015,9,7,29.01
12,2015,9,14,10.13
12,2015,9,21,32.85
12,2015,9,28,0.61
12,2015,10,5,0.46
12,2015,10,12,12.89
12,2015,10,19,28.86
12,2015,10,26,10.44
3,2016,5,2,6.6
3,2016,5,23,25.17
3,2016,5,30,33.31
3,2016,6,6,15.66
3,2016,6,13,26.4
3,2016,6,20,43.29
3,2016,6,27,81.36
3,2016,7,4,2.76
3,2016,7,11,64.78
3,2016,7,18,33
3,2016,7,25,47.89
3,2016,8,1,41.75
3,2016,8,8,20.26
3,2016,8,15,26.4
3,2016,8,22,37.46
3,2016,8,29,31.62
3,2016,9,5,6.14
3,2016,9,12,50.96
3,2016,9,19,71.53
3,2016,9,26,17.19
3,2016,10,3,2.76
3,2016,10,10,15.35
3,2016,10,24,0.49
11,2016,5,2,3.07
11,2016,5,9,8.75
11,2016,5,16,1.84
11,2016,5,23,25.48
11,2016,5,30,35.31
11,2016,6,6,31.62
11,2016,6,13,49.43
11,2016,6,20,80.44
11,2016,6,27,83.2
11,2016,7,4,17.19
11,2016,7,11,85.35
11,2016,7,18,27.94
11,2016,7,25,54.96
11,2016,8,1,52.81
11,2016,8,8,28.55
11,2016,8,15,15.35
11,2016,8,22,38.38
11,2016,8,29,89.65
11,2016,9,5,3.99
11,2016,9,12,70.92
11,2016,9,19,81.67
11,2016,9,26,22.1
11,2016,10,3,18.73
11,2016,10,10,9.98
11,2016,10,17,0.57
11,2016,10,24,5.83
12,2016,5,2,15.96
12,2016,5,9,39.91
12,2016,5,16,73.07
12,2016,5,23,11.51
12,2016,5,30,17.81
12,2016,6,6,81.67
12,2016,6,13,67.54
12,2016,6,20,62.02
12,2016,7,11,65.39
12,2016,7,18,83.51
12,2016,7,25,70.15
12,2016,8,1,77.06
12,2016,8,8,43.29
12,2016,8,15,27.02
12,2016,8,22,48.51
12,2016,8,29,70.31
12,2016,9,5,4.61
12,2016,9,12,53.42
12,2016,9,19,73.68
12,2016,9,26,58.64
12,2016,10,3,7.06
12,2016,10,10,31.93
12,2016,10,17,44.36
12,2016,10,24,0.52
3,2017,5,8,14.12
3,2017,5,15,25.48
3,2017,5,22,76.45
3,2017,5,29,10.13
3,2017,6,5,34.69
3,2017,6,26,51.27
3,2017,7,3,74.3
3,2017,7,10,21.49
3,2017,7,17,66.93
3,2017,7,24,36.38
3,2017,7,31,29.47
3,2017,8,7,29.47
3,2017,8,14,56.8
3,2017,8,21,70.46
3,2017,8,28,116.36
3,2017,9,4,60.79
3,2017,9,11,38.68
3,2017,9,18,27.32
3,2017,9,25,47.59
3,2017,10,2,7.4
3,2017,10,9,27.9
3,2017,10,16,3.8
3,2017,10,23,13.5
11,2017,5,8,11.97
11,2017,5,15,37.76
11,2017,5,22,88.42
11,2017,5,29,27.94
11,2017,6,5,42.52
11,2017,6,19,50.66
11,2017,6,26,50.96
11,2017,7,3,120.04
11,2017,7,10,23.64
11,2017,7,17,53.73
11,2017,7,24,10.13
11,2017,7,31,24.25
11,2017,8,7,47.13
11,2017,8,14,47.28
11,2017,8,21,69.38
11,2017,8,28,226.42
11,2017,9,4,20.57
11,2017,9,11,54.03
11,2017,9,18,72.45
11,2017,9,25,78.9
11,2017,10,2,11.36
11,2017,10,9,21.8
11,2017,10,16,10.28
11,2017,10,23,14.43
12,2017,5,8,1.69
12,2017,5,15,19.34
12,2017,5,22,81.97
12,2017,5,29,83.2
12,2017,6,5,35.92
12,2017,6,12,15.35
12,2017,6,19,21.18
12,2017,6,26,35.92
12,2017,7,3,139.08
12,2017,7,10,22.1
12,2017,7,17,65.24
12,2017,7,24,7.21
12,2017,7,31,42.52
12,2017,8,7,57.1
12,2017,8,14,57.41
12,2017,8,21,33.3
12,2017,8,28,116.1
12,2017,9,4,119.1
12,2017,9,11,14.43
12,2017,9,18,16.27
12,2017,9,25,85.66
12,2017,10,2,4.14
12,2017,10,9,83.51
12,2017,10,16,8.9
12,2017,10,23,0.49
3,2018,4,23,2
3,2018,4,30,15
3,2018,5,7,17
3,2018,5,14,19.3
3,2018,5,21,19.6
3,2018,5,28,18.42
3,2018,6,4,6.4
3,2018,6,11,79.5
3,2018,6,18,38.6
3,2018,6,25,28.9
3,2018,7,2,27.2
3,2018,7,9,71.6
3,2018,7,16,39.6
3,2018,7,23,16
3,2018,7,30,47.5
3,2018,8,6,80.8
3,2018,8,13,59.2
3,2018,8,20,72.6
3,2018,8,27,175.5
3,2018,9,3,30
3,2018,9,10,56.1
3,2018,9,17,104.1
3,2018,9,24,38.6
3,2018,10,1,45.7
3,2018,10,8,41.7
