Valor predecido,Valor real,% de Error
'33.11037054749498','1.75','1792.0211741425703'
'33.1112974740511','25.24','31.18580615709628'
'33.11222413308496','3.99','729.8803040873422'
'33.10904386107683','33.92','2.3907905039008677'
'33.10997099382108','28.94','14.409022093369309'
'33.11089800476896','41.91','20.99523262999531'
'33.111824791961844','79.72','58.464845970946'
'33.10877671369613','58.37','43.27775104729119'
'33.10970386265368','46.6','28.949133341944894'
'33.110630919033085','101.87','67.49717196521735'
'33.11155778086736','36.12','8.329020540234328'
'33.10837711681449','53.68','38.32269538596407'
'33.109304273645236','50.89','34.939468906179535'
'33.110231381686404','37.92','12.683988972345986'
'33.111158338961744','44.1','24.918008301674053'
'33.112085043522235','40.11','17.446808667359175'
'33.1089046757365','7.98','314.8985548337907'
'33.109831815944595','46.5','28.796060610871837'
'33.110758849171155','48.89','32.27498701335415'
'33.10863752831294','3.59','822.2461707050959'
'33.11141864334111','0.31','10581.102788174552'
'33.10851629961975','9.98','231.74866031683115'
'33.109443455360044','17.46','89.63026033997733'
'33.11037054749498','2.24','1378.141542298883'
'33.1112974740511','25.17','31.55064550675843'
'33.11222413308496','2.69','1130.9377001146825'
'33.10904386107683','45.1','26.58748589561679'
'33.10997099382108','44.9','26.258416494830556'
'33.11089800476896','19.86','66.7215408095114'
'33.111824791961844','109.56','69.77745090182378'
'33.10877671369613','69.85','52.600176501508756'
'33.10970386265368','48.09','31.15054301797946'
'33.110630919033085','84.61','60.86676407158363'
'33.11155778086736','55.68','40.532403410798565'
'33.10837711681449','23.55','40.58758860643094'
'33.109304273645236','137.69','75.95373355098755'
'33.110231381686404','40.91','19.06567738526911'
'33.111158338961744','63.16','47.57574677175151'
'33.112085043522235','38.91','14.900835149004784'
'33.1089046757365','20.16','64.23067795504215'
'33.109831815944595','39.41','15.986217163297137'
'33.110758849171155','48.29','31.43350828500485'
'33.10863752831294','6.39','418.1320426966032'
'33.11141864334111','3.49','848.7512505255331'
'33.10851629961975','0.31','10580.166548264435'
'33.109443455360044','15.66','111.42684198825059'
'33.1112974740511','0.95','3385.399734110642'
'33.11222413308496','9.98','231.7858129567631'
'33.10904386107683','42.41','21.93104489253282'
'33.10997099382108','59.17','44.04263817167301'
'33.11089800476896','25.94','27.644171182609718'
'33.111824791961844','65.85','49.71628733187267'
'33.10877671369613','100.18','66.95071200469542'
'33.10970386265368','27.74','19.3572597788525'
'33.110630919033085','80.02','58.622055837249334'
'33.11155778086736','84.74','60.92570476650063'
'33.10837711681449','104.87','68.42912451910509'
'33.109304273645236','93.79','64.69847076058724'
'33.110231381686404','56.87','41.77909023793493'
'33.111158338961744','50.89','34.935825625934875'
'33.112085043522235','61.36','46.036367269357505'
'33.1089046757365','32.53','1.779602446161991'
'33.109831815944595','84.71','60.913904124726'
'33.110758849171155','48.89','32.27498701335415'
'33.11141864334111','9.28','256.80408020841713'
'33.10839282339704','11.37','191.19079000349203'
'33.10931998396831','16.43','101.51746794868114'
'33.11024709517417','0.71','4563.415083827348'
'33.11117405503798','3.38','879.6205341727212'
'33.10892038571835','5.89','462.1208894009906'
'33.109847531419184','18.16','82.32294896155938'
'33.11077456956213','70.24','52.86051456497418'
'33.11170139818376','158.15','79.06310376339945'
'33.108653237194495','32.23','2.7261968265420373'
'33.109580395028296','53.08','37.6232471834433'
'33.11050747452323','31.43','5.346826199564848'
'33.111434373708384','35.52','6.780871695640818'
'33.108253640908735','50.19','34.0341628991657'
'33.10918080050083','21.95','50.83909248519741'
'33.11010792554357','43.1','23.17840388504972'
'33.11103491405781','151.86','78.19634208214289'
'33.11196166408911','55.28','40.10137180881131'
'33.10878119979118','2.89','1045.6325674668228'
'33.10970835088631','17.96','84.35249638578122'
'33.110635409238746','25.74','28.63494719983974'
'33.11156227288138','0.31','10581.149120284315'
'33.10851405209466','43.7','24.236809949440136'
'33.10944120899646','12.37','167.65918519803122'
'33.10839282339704','1.81','1729.1929736683446'
'33.10931998396831','17.35','90.83181546955798'
'33.11024709517417','0.74','4374.357715564076'
'33.11117405503798','2.0','1555.5587027518989'
'33.10892038571835','1.9','1642.574757143071'
'33.109847531419184','6.29','426.3886729955355'
'33.11077456956213','85.91','61.45876548764738'
'33.11170139818376','123.43','73.17370056049278'
'33.108653237194495','71.64','53.78468280681952'
'33.109580395028296','71.04','53.39304561510657'
'33.11050747452323','31.47','5.212924926988347'
'33.111434373708384','30.13','9.895235226380303'
'33.108253640908735','41.21','19.659661148001128'
'33.10918080050083','0.54','6031.329777870524'
'33.11010792554357','33.03','0.2425308069741822'
'33.11103491405781','162.64','79.64151812957586'
'33.11196166408911','59.87','44.69356662086336'
'33.10878119979118','5.07','553.0331597591949'
'33.10970835088631','38.41','13.799249281733115'
'33.110635409238746','77.83','57.45774712933477'
'33.11156227288138','1.06','3023.7322898944694'
'33.10851405209466','54.08','38.778635258700696'
'33.10944120899646','11.97','176.60351887215086'
'33.10839282339704','6.19','434.86902784163226'
'33.10931998396831','17.96','84.35033398646053'
'33.11117405503798','3.22','928.2973309018006'
'33.10892038571835','4.3','669.9748926911244'
'33.109847531419184','26.64','24.28621445727922'
'33.11077456956213','94.19','64.84682602233556'
'33.11170139818376','141.89','76.6638231036833'
'33.108653237194495','67.25','50.76780187777771'
'33.109580395028296','51.59','35.82170886794283'
'33.11050747452323','37.62','11.986955144807991'
'33.111434373708384','12.89','156.87691523435518'
'33.108253640908735','26.84','23.35414918371362'
'33.10918080050083','13.67','142.20322458303457'
'33.11010792554357','33.43','0.9569012098606826'
'33.11103491405781','96.99','65.86139301571522'
'33.11196166408911','95.69','65.39663322803939'
'33.10878119979118','12.47','165.50746752037838'
'33.10970835088631','22.55','46.82797494849804'
'33.110635409238746','21.85','51.53608882946794'
'33.11156227288138','3.38','879.6320199077333'
'33.10851405209466','45.4','27.07375759450515'
'33.10944120899646','22.55','46.82679028379803'
'33.10906405827015','9.82','237.1595117950117'
'33.109991197128025','1.69','1859.1710767531374'
'33.111845005272855','19.5','69.80433336037362'
'33.10866445672617','9.67','242.38536149665114'
'33.109591617708794','33.92','2.389175655339644'
'33.11051869994115','38.68','14.398865822282437'
'33.11144560145203','58.03','42.94081405919002'
